20121210 13:42:03 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:04 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:30 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:31 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:33 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:42:33 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:45:50 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:45:50 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:46:18 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:46:19 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:46:43 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:46:43 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:48:24 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:48:24 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:48:26 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:48:27 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:11 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:11 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:13 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:14 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:33 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:33 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:37 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121210 13:51:37 | classes\sessionObject.php:144 | DEBUG | admin | t2
20121222 08:13:57 | sessionweb\checklogin.php:214 | INFO | admin | User logged in
20121222 08:13:59 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/list2.php 0.119 seconds
20121222 08:14:06 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=2&command=edit 0.2336 seconds
12/22/12 08:14:18,973 [6024] INFO root - admin created area a1
12/22/12 08:14:22,046 [6024] INFO root - admin created area a2
12/22/12 08:14:24,554 [6024] INFO root - admin created area a3
12/22/12 08:14:27,023 [6024] INFO root - admin created area a4
20121222 08:14:28 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/list2.php 0.0843 seconds
20121222 08:14:30 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/session.php?sessionid=2&command=edit 0.2464 seconds
20121222 08:15:20 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0084 seconds
20121222 08:15:22 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0019 seconds
20121222 08:15:22 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.1582 seconds
20121222 08:23:52 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0018 seconds
20121222 08:23:52 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0825 seconds
20121222 08:26:22 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0051 seconds
20121222 08:26:26 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0019 seconds
20121222 08:26:26 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0815 seconds
20121222 08:26:56 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0016 seconds
20121222 08:26:56 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0686 seconds
20121222 08:29:08 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0018 seconds
20121222 08:29:08 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0656 seconds
20121222 08:29:13 | : | DEBUG | admin |  Load time for http://localhost/sessionweb/graph/areagridreport.php 0.0017 seconds
